((belgium,Belgium:1483676465539,1483676465539,1483676497907,32368,27),1483676500664,-35125)
((cambodia,Cambodia:1483676465565,1483676465565,1483676497908,32343,27),1483676500662,-35097)
((israel,Israel:1483676465718,1483676465718,1483676497910,32192,25),1483676500662,-34944)
((jersey,Jersey:1483676465724,1483676465724,1483676497910,32186,25),1483676500672,-34948)
((gazastrip,GazaStrip:1483676465640,1483676465640,1483676497909,32269,27),1483676500667,-35027)
((turkscaicosis,TurksCaicosIs:1483676465498,1483676465498,1483676497906,32408,26),1483676500658,-35160)
((sweden,Sweden:1483676465476,1483676465476,1483676497906,32430,26),1483676500667,-35191)
((nicaragua,Nicaragua:1483676465802,1483676465802,1483676497912,32110,25),1483676500667,-34865)
((guernsey,Guernsey:1483676465658,1483676465658,1483676497910,32252,25),1483676500667,-35009)
((guineabissau,GuineaBissau:1483676465697,1483676465697,1483676497910,32213,25),1483676500670,-34973)
((kuwait,Kuwait:1483676465736,1483676465736,1483676497911,32175,25),1483676500670,-34934)
((lesotho,Lesotho:1483676465744,1483676465744,1483676497911,32167,25),1483676500670,-34926)
((russia,Russia:1483676465246,1483676465246,1483676497905,32659,26),1483676500667,-35421)
((puertorico,PuertoRico:1483676465240,1483676465240,1483676497904,32664,26),1483676500662,-35422)
((somalia,Somalia:1483676465465,1483676465465,1483676497905,32440,26),1483676500663,-35198)
((congodemrep,CongoDemRep:1483676465585,1483676465585,1483676497908,32323,27),1483676500663,-35078)
((indonesia,Indonesia:1483676465710,1483676465710,1483676497910,32200,25),1483676500663,-34953)
((caymanislands,CaymanIslands:1483676465572,1483676465572,1483676497908,32336,27),1483676500667,-35095)
((niger,Niger:1483676465804,1483676465804,1483676497912,32108,25),1483676500667,-34863)
((benin,Benin:1483676465542,1483676465542,1483676497907,32365,27),1483676500668,-35126)
((frenchpolynesia,FrenchPolynesia:1483676465634,1483676465634,1483676497909,32275,27),1483676500668,-35034)
((marshallislands,MarshallIslands:1483676465768,1483676465768,1483676497911,32143,25),1483676500668,-34900)
((koreasouth,KoreaSouth:1483676465734,1483676465734,1483676497911,32177,25),1483676500669,-34935)
((faroeislands,FaroeIslands:1483676465625,1483676465625,1483676497909,32284,27),1483676500659,-35034)
((martinique,Martinique:1483676465770,1483676465770,1483676497911,32141,25),1483676500659,-34889)
((saudiarabia,SaudiArabia:1483676465262,1483676465262,1483676497905,32643,26),1483676500669,-35407)
((philippines,Philippines:1483676465236,1483676465236,1483676497904,32668,26),1483676500666,-35430)
((tanzania,Tanzania:1483676465485,1483676465485,1483676497906,32421,26),1483676500671,-35186)
